age_description,jaw_description,eyes_description,hair_description,nose_description,race_description,beard_description,gender_description,eyebrows_description,expression_description,additionalInfo_description,Attractive_og_img,Race_og_img,Memorable_og_img,Filename_og_img,AWSFile_og_img,ParticipantId,Task Data,Submitted Data,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status
Mid-30’s,Round,Dark brown,"Medium, black, braided hair",Flat nose with flaring nostrils,black,"Has a short, black beard",male,Think black eyebrows,neutral,Light black skin and appears to have pink eyes ,1.0,2.0,1.0,Google_1_Gerald Brotherton_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Gerald%20Brotherton_5_oval.jpg,A6314055D0BE49E1BEE7D450D0718DF6,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""1.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Gerald Brotherton_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Gerald%20Brotherton_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":640}","{""Data"":{""taskData"":{""age"":""Mid-30\u2019s"",""jaw"":""Round"",""eyes"":""Dark brown"",""hair"":""Medium, black, braided hair"",""nose"":""Flat nose with flaring nostrils"",""race"":""black"",""beard"":""Has a short, black beard"",""gender"":""male"",""eyebrows"":""Think black eyebrows"",""expression"":""neutral"",""additionalInfo"":""Light black skin and appears to have pink eyes ""}}}",39,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Education & Training,Single,Democrat,Woman,United States,"$90,000-$99,999",Filipino,Part-time
late 30s,square jaw,medium brown,"straight bangs, dark brown","long nose, wide bridge",white,none,female,thin,smiling,"wide chin, thin upper lip",3.0,1.0,4.0,Google_1_Patsy Vice_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Patsy%20Vice_5_oval.jpg,33E25313BDE249ABABF0C76022012B56,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Patsy Vice_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Patsy%20Vice_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":573}","{""Data"":{""taskData"":{""age"":""late 30s"",""jaw"":""square jaw"",""eyes"":""medium brown"",""hair"":""straight bangs, dark brown"",""nose"":""long nose, wide bridge"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin"",""expression"":""smiling"",""additionalInfo"":""wide chin, thin upper lip""}}}",69,"Professional degree (for example: MD, DDS, DVM, LLB, JD)",Female,Legal,Separated,Democrat,Woman,United States,"$100,000-$124,999",White,Retired
early twenties or late teens,slightly pointy,brown,brunette with blonde highlights,narrow,white,none,female,dark and thin,smiling,"wearing a necklace/choker, eyeliner",4.0,1.0,3.0,Google_1_Claudia Olivarez_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Claudia%20Olivarez_9_oval.jpg,124AA3353BDF4166BE3B108A9B27311A,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Claudia Olivarez_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Claudia%20Olivarez_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":642}","{""Data"":{""taskData"":{""age"":""early twenties or late teens"",""jaw"":""slightly pointy"",""eyes"":""brown"",""hair"":""brunette with blonde highlights"",""nose"":""narrow"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""dark and thin"",""expression"":""smiling"",""additionalInfo"":""wearing a necklace/choker, eyeliner""}}}",31,"Bachelor's degree (for example: BA, AB, BS)",Female,I’d Rather Not Say,In a relationship,Prefer not to say,Woman,United States,"Less than $10,000",Black or African American,Unemployed
Early 40,Short,"Small, dark brown ",Long dark brown ,Médium ,asian,None,female,Thin hair ,smiling,,3.0,3.0,3.0,Google_1_Nathan Batts_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Nathan%20Batts_15_oval.jpg,C8DE7A663DF64621910FEECA2E821C62,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""3.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Nathan Batts_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Nathan%20Batts_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":643}","{""Data"":{""taskData"":{""age"":""Early 40"",""jaw"":""Short"",""eyes"":""Small, dark brown "",""hair"":""Long dark brown "",""nose"":""M\u00E9dium "",""race"":""asian"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thin hair "",""expression"":""smiling""}}}",30,"Associate degree (for example: AA, AS)",Female,Medicine,Married,Democrat,Woman,United States,"$60,000-$69,999",White,Student
55,"small, square",brown,"bald, dark",small nostrils,hispanic,none,male,"dark, thick",neutral,"squinced face, chubby",1.0,1.0,4.0,Google_1_Carlos Coker_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Carlos%20Coker_9_oval.jpg,E0DAFB61AAF048FAAE3AED2DB7B65A20,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Carlos Coker_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Carlos%20Coker_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":644}","{""Data"":{""taskData"":{""age"":""55"",""jaw"":""small, square"",""eyes"":""brown"",""hair"":""bald, dark"",""nose"":""small nostrils"",""race"":""hispanic"",""beard"":""none"",""gender"":""male"",""eyebrows"":""dark, thick"",""expression"":""neutral"",""additionalInfo"":""squinced face, chubby""}}}",46,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Government & Public Administration,Married,Independent,Man,United States,"$90,000-$99,999",White,Full-time
50s,Streamlined ,Black,Gray,Pointy,white,,male,Gray,smiling,,3.0,1.0,2.0,Google_1_Carl Cash_18_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Carl%20Cash_18_oval.jpg,25814D9B26454E4F95A93D6A3357AF4F,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Carl Cash_18_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Carl%20Cash_18_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":645}","{""Data"":{""taskData"":{""age"":""50s"",""jaw"":""Streamlined "",""eyes"":""Black"",""hair"":""Gray"",""nose"":""Pointy"",""race"":""white"",""gender"":""male"",""eyebrows"":""Gray"",""expression"":""smiling""}}}",48,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,Other,In a relationship,Prefer not to say,Woman,United States,"$100,000-$124,999",An ethnicity not listed here,Full-time
early-40s,square,medium brown,short straight brown,wide,white,none,male,medium brown,smiling,,3.0,1.0,3.0,Google_1_Christina Delaney_7_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Christina%20Delaney_7_oval.jpg,6CB0EC7F77BC44AFBD35658FEF18A4B3,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Christina Delaney_7_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Christina%20Delaney_7_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":646}","{""Data"":{""taskData"":{""age"":""early-40s"",""jaw"":""square"",""eyes"":""medium brown"",""hair"":""short straight brown"",""nose"":""wide"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""medium brown"",""expression"":""smiling""}}}",38,High school graduate - high school diploma or the equivalent (for example: GED),Male,I’d Rather Not Say,Single,Independent,Non-binary,United States,Prefer not to say,Chinese,Prefer not to say
late 20s,Slightly round,Round brown,Medium length,Proportional to face,black,None,female,Normal,neutral,Has earing.,3.0,2.0,3.0,Google_1_Latoya Hinds_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Latoya%20Hinds_9_oval.jpg,3701428B74B748B4A55DA78FEAF1D7C8,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Latoya Hinds_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Latoya%20Hinds_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":647}","{""Data"":{""taskData"":{""age"":""late 20s"",""jaw"":""Slightly round"",""eyes"":""Round brown"",""hair"":""Medium length"",""nose"":""Proportional to face"",""race"":""black"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Normal"",""expression"":""neutral"",""additionalInfo"":""Has earing.""}}}",36,"Bachelor's degree (for example: BA, AB, BS)",Male,Other,Married,Independent,Man,United States,"$60,000-$69,999",White,Full-time
"middle aged, around 30s-40s",oblong shaped face,small brown eyes,"very short straight hair, brown",long nose,white,none,male,thin brown eyebrows,smiling,,3.0,1.0,3.0,Google_1_Kenneth Maggard_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Kenneth%20Maggard_5_oval.jpg,8EA7FA2D5D9A45CF8DE35D50ECF804EB,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Kenneth Maggard_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Kenneth%20Maggard_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":618}","{""Data"":{""taskData"":{""age"":""middle aged, around 30s-40s"",""jaw"":""oblong shaped face"",""eyes"":""small brown eyes"",""hair"":""very short straight hair, brown"",""nose"":""long nose"",""race"":""white"",""beard"":""none"",""gender"":""male"",""eyebrows"":""thin brown eyebrows"",""expression"":""smiling""}}}",24,High school graduate - high school diploma or the equivalent (for example: GED),Female,I’d Rather Not Say,Single,Prefer not to say,Woman,United States,Prefer not to say,An ethnicity not listed here,"Not in paid work (e.g., homemaker, disabled)"
35,Oval,Large brown,Straight Brown,Small nostrils,white,None,male,Thick brown,smiling,,3.0,1.0,4.0,Google_1_Angela Chaisson_12_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Angela%20Chaisson_12_oval.jpg,106DA433CA4F4BBA963B183DEFD743E0,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Angela Chaisson_12_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Angela%20Chaisson_12_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":648}","{""Data"":{""taskData"":{""age"":""35"",""jaw"":""Oval"",""eyes"":""Large brown"",""hair"":""Straight Brown"",""nose"":""Small nostrils"",""race"":""white"",""beard"":""None"",""gender"":""male"",""eyebrows"":""Thick brown"",""expression"":""smiling""}}}",48,"Bachelor's degree (for example: BA, AB, BS)",Female,Retail,Married,Democrat,Woman,United States,"$50,000-$59,999",White,Full-time
over 40,pudgy,light blue,blonde,small nostrils,white,none,female,blonde,neutral,,2.0,1.0,2.0,Google_1_Ellen Singer_1_oval (2).jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Ellen%20Singer_1_oval%20(2).jpg,0A8F98AE54CE4B5BB8D594C210809C82,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Ellen Singer_1_oval (2).jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Ellen%20Singer_1_oval%20(2).jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":616}","{""Data"":{""taskData"":{""age"":""over 40"",""jaw"":""pudgy"",""eyes"":""light blue"",""hair"":""blonde"",""nose"":""small nostrils"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""blonde"",""expression"":""neutral""}}}",24,"Bachelor's degree (for example: BA, AB, BS)",Male,"Science, Technology, Engineering & Mathematics",Single,Democrat,Man,United States,Prefer not to say,Korean,Part-time
30s,Square,Brown,"Long, brown",Hook,white,None,female,Brown,smiling,Wearing a light pink lipstick or lip gloss,4.0,1.0,3.0,Google_1_Marvin Gottlieb_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Marvin%20Gottlieb_5_oval.jpg,2D80B1C6BCE74C78B852860359B0FB24,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Marvin Gottlieb_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Marvin%20Gottlieb_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":649}","{""Data"":{""taskData"":{""age"":""30s"",""jaw"":""Square"",""eyes"":""Brown"",""hair"":""Long, brown"",""nose"":""Hook"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Brown"",""expression"":""smiling"",""additionalInfo"":""Wearing a light pink lipstick or lip gloss""}}}",51,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Single,Democrat,Woman,United States,"$20,000-$29,999",Black or African American,"Not in paid work (e.g., homemaker, disabled)"
50,Small jaw line,Light blue/green,Brownish blondish ,Large ,white,Slight mustache ,female,Blonde,neutral,No,1.0,1.0,1.0,Google_1_Nathan Kiger_7_oval (2).jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Nathan%20Kiger_7_oval%20(2).jpg,7888A2429F784143A381F03582A8DC5E,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""1.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Nathan Kiger_7_oval (2).jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Nathan%20Kiger_7_oval%20(2).jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":651}","{""Data"":{""taskData"":{""age"":""50"",""jaw"":""Small jaw line"",""eyes"":""Light blue/green"",""hair"":""Brownish blondish "",""nose"":""Large "",""race"":""white"",""beard"":""Slight mustache "",""gender"":""female"",""eyebrows"":""Blonde"",""expression"":""neutral"",""additionalInfo"":""No""}}}",35,"Associate degree (for example: AA, AS)",Male,Hospitality & Tourism,Single,Independent,Man,United States,"$20,000-$29,999",White,Part-time
mid-30's,Round,"Normal size, brown in colr","Short, well kept",Small,white,None,male,Normal sized,smiling,"Friendly, clean looking
",3.0,1.0,3.0,Gerald_Sloan_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Gerald_Sloan_3_oval.jpg,C5CC8EAC3AC9428595FA71E3989D1B38,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Gerald_Sloan_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Gerald_Sloan_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":652}","{""Data"":{""taskData"":{""age"":""mid-30\u0027s"",""jaw"":""Round"",""eyes"":""Normal size, brown in colr"",""hair"":""Short, well kept"",""nose"":""Small"",""race"":""white"",""beard"":""None"",""gender"":""male"",""eyebrows"":""Normal sized"",""expression"":""smiling"",""additionalInfo"":""Friendly, clean looking\n""}}}",69,"Associate degree (for example: AA, AS)",Male,Retired,Divorced,Democrat,Man,United States,"$30,000-$39,999",White,Retired
Early 50s,slim,Green eyes,Brown hair mixed grey,long,white,White o,male,Regular,smiling,,3.0,1.0,3.0,Google_1_Lois Vancleave_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Lois%20Vancleave_1_oval.jpg,1BBA9B4D99FB47E389B21A60F4BE79C0,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Lois Vancleave_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Lois%20Vancleave_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":615}","{""Data"":{""taskData"":{""age"":""Early 50s"",""jaw"":""slim"",""eyes"":""Green eyes"",""hair"":""Brown hair mixed grey"",""nose"":""long"",""race"":""white"",""beard"":""White o"",""gender"":""male"",""eyebrows"":""Regular"",""expression"":""smiling""}}}",34,"Associate degree (for example: AA, AS)",Female,Arts,Single,Prefer not to say,Woman,United States,"$10,000-$19,999",Black or African American,"Not in paid work (e.g., homemaker, disabled)"
Early 40's,Goatee,Large nose,Thin brown,Normal sized,black,,male,Wide Blue,neutral,,1.0,1.0,5.0,Heather_Stroup_13_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Heather_Stroup_13_oval.jpg,8EE64D76F4AA4420AB6526EFAF4BB3F8,"{""RowData"":[{""CellData"":""1.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""5.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Heather_Stroup_13_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Heather_Stroup_13_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":653}","{""Data"":{""taskData"":{""age"":""Early 40\u0027s"",""jaw"":""Goatee"",""eyes"":""Large nose"",""hair"":""Thin brown"",""nose"":""Normal sized"",""race"":""black"",""gender"":""male"",""eyebrows"":""Wide Blue"",""expression"":""neutral""}}}",23,"Some college, but no degree",Male,Other,Single,Independent,Man,United States,"$80,000-$89,999",White,"Not in paid work (e.g., homemaker, disabled)"
35,round,large,short brown,normal,white,none,female,blue,neutral,,3.0,1.0,3.0,Ada_Galbreath_19_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Ada_Galbreath_19_oval.jpg,5547813AE2834264A089C6494423433C,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Ada_Galbreath_19_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Ada_Galbreath_19_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":614}","{""Data"":{""taskData"":{""age"":""35"",""jaw"":""round"",""eyes"":""large"",""hair"":""short brown"",""nose"":""normal"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""blue"",""expression"":""neutral""}}}",48,"Bachelor's degree (for example: BA, AB, BS)",Male,Information Technology,Single,Democrat,Man,United States,"$50,000-$59,999",Chinese,Full-time
"late 20s, early 30s","heart-shaped, defined","slightly large, brown","possibly long, swoopy bangs, reddish auburn","small nostrils, pointed nose",white,none,female,thin brown,smiling,wearing earrings,4.0,1.0,3.0,Google_1_Gary Sprinkle_15_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Gary%20Sprinkle_15_oval.jpg,461B0A2A7B78482C97B0DF6D4E101723,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Gary Sprinkle_15_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Gary%20Sprinkle_15_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":628}","{""Data"":{""taskData"":{""age"":""late 20s, early 30s"",""jaw"":""heart-shaped, defined"",""eyes"":""slightly large, brown"",""hair"":""possibly long, swoopy bangs, reddish auburn"",""nose"":""small nostrils, pointed nose"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin brown"",""expression"":""smiling"",""additionalInfo"":""wearing earrings""}}}",24,"Bachelor's degree (for example: BA, AB, BS)",Female,Education & Training,Single,Democrat,Woman,United States,"$40,000-$49,999",An ethnicity not listed here,Full-time
early 30s,pointed,blue,long brown ,small sharp nose,white,none,female,narrow brown,smiling,large toothy smile,4.0,1.0,4.0,Google_1_Karen Markey_16_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Karen%20Markey_16_oval.jpg,A37E0563D3C84904BBEE603F4E08CCD0,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Karen Markey_16_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Karen%20Markey_16_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":655}","{""Data"":{""taskData"":{""age"":""early 30s"",""jaw"":""pointed"",""eyes"":""blue"",""hair"":""long brown "",""nose"":""small sharp nose"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""narrow brown"",""expression"":""smiling"",""additionalInfo"":""large toothy smile""}}}",47,"Some college, but no degree",Male,"Agriculture, Food and Natural Resources",In a civil union/partnership,Something else,Man,United States,"$40,000-$49,999",White,Business Owner
30s,"round, plump","pretty, blue","brown, bangs","small, normal",white,none,female,"thin, brown",smiling,nice smile,4.0,1.0,3.0,Google_1_Kara Goldberg_11_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Kara%20Goldberg_11_oval.jpg,DC3E2484F762493A87C050B2B20137A7,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Kara Goldberg_11_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Kara%20Goldberg_11_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":621}","{""Data"":{""taskData"":{""age"":""30s"",""jaw"":""round, plump"",""eyes"":""pretty, blue"",""hair"":""brown, bangs"",""nose"":""small, normal"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""thin, brown"",""expression"":""smiling"",""additionalInfo"":""nice smile""}}}",53,"Some college, but no degree",Male,Marketing and Sales,Single,Independent,Man,United States,"$10,000-$19,999",White,Business Owner
